Subj,Block,Trial,ImageType,Image,Rating,RT
19,2,87,art,art_003.jpg,4,0.6373
20,1,23,art,art_003.jpg,7,1.0248
20,2,35,art,art_003.jpg,7,0.8082
21,1,63,art,art_003.jpg,5,0.7868
21,2,20,art,art_003.jpg,5,1.4744
22,1,90,art,art_003.jpg,1,0.7126
22,2,47,art,art_003.jpg,2,0.8491
23,1,84,art,art_003.jpg,3,1.5134
23,2,28,art,art_003.jpg,5,1.3473
24,1,82,art,art_003.jpg,2,1.228
24,2,26,art,art_003.jpg,2,1.2634
1,1,9,art,art_107.jpg,2,1.0452
1,2,34,art,art_107.jpg,5,1.0768
2,1,34,art,art_107.jpg,4,3.1079
2,2,95,art,art_107.jpg,2,0.8301
3,1,41,art,art_107.jpg,1,0.9532
3,2,48,art,art_107.jpg,1,0.9509
4,1,62,art,art_107.jpg,3,0.4812
4,2,69,art,art_107.jpg,5,0.564
5,1,85,art,art_107.jpg,2,1.1306
5,2,74,art,art_107.jpg,2,0.8837
6,1,36,art,art_107.jpg,1,1.2105
6,2,25,art,art_107.jpg,3,1.1119
7,1,49,art,art_107.jpg,1,0.7945
7,2,8,art,art_107.jpg,1,1.0688
8,1,102,art,art_107.jpg,1,0.7778
8,2,61,art,art_107.jpg,1,0.6497
9,1,45,art,art_107.jpg,5,0.73
9,2,96,art,art_107.jpg,5,0.7562
10,1,14,art,art_107.jpg,4,0.6006
10,2,65,art,art_107.jpg,3,0.4488
11,1,106,art,art_107.jpg,3,2.023
11,2,86,art,art_107.jpg,2,1.72
12,1,24,art,art_107.jpg,4,0.539
12,2,4,art,art_107.jpg,4,0.6621
13,1,56,art,art_107.jpg,1,0.9094
13,2,43,art,art_107.jpg,1,0.6613
14,1,67,art,art_107.jpg,1,1.0309
14,2,54,art,art_107.jpg,1,0.7111
15,1,15,art,art_107.jpg,4,1.0094
15,2,51,art,art_107.jpg,5,0.648
16,1,59,art,art_107.jpg,3,0.7628
16,2,95,art,art_107.jpg,2,0.6561
17,1,65,art,art_107.jpg,2,0.7134
17,2,57,art,art_107.jpg,4,0.8116
18,1,53,art,art_107.jpg,1,0.7773
18,2,45,art,art_107.jpg,1,0.7457
19,1,69,art,art_107.jpg,4,1.9842
19,2,93,art,art_107.jpg,4,0.553
20,1,17,art,art_107.jpg,5,0.8494
20,2,41,art,art_107.jpg,3,0.6437
21,1,6,art,art_107.jpg,5,1.3876
21,2,71,art,art_107.jpg,3,1.131
22,1,39,art,art_107.jpg,5,1.1539
22,2,104,art,art_107.jpg,5,0.5277
23,1,55,art,art_107.jpg,2,1.3322
23,2,97,art,art_107.jpg,2,0.7461
24,1,13,art,art_107.jpg,1,0.6261
24,2,55,art,art_107.jpg,1,0.7767
1,1,10,art,art_012.jpg,4,3.2511
1,2,14,art,art_012.jpg,4,1.4438
2,1,3,art,art_012.jpg,4,5.1999
2,2,11,art,art_012.jpg,3,1.0089
3,1,2,art,art_012.jpg,3,1.2531
3,2,79,art,art_012.jpg,3,0.9297
4,1,31,art,art_012.jpg,3,0.5144
4,2,108,art,art_012.jpg,3,0.395
5,1,69,art,art_012.jpg,1,0.8106
5,2,21,art,art_012.jpg,1,0.858
6,1,89,art,art_012.jpg,5,0.8042
6,2,41,art,art_012.jpg,5,1.8387
7,1,56,art,art_012.jpg,5,0.755
7,2,9,art,art_012.jpg,4,0.543
8,1,101,art,art_012.jpg,2,1.573
8,2,54,art,art_012.jpg,2,0.7672
9,1,56,art,art_012.jpg,6,0.8996
9,2,54,art,art_012.jpg,5,1.5514
10,1,56,art,art_012.jpg,4,0.4982
10,2,54,art,art_012.jpg,4,0.3998
11,1,67,art,art_012.jpg,4,1.2547
11,2,45,art,art_012.jpg,4,1.0102
12,1,65,art,art_012.jpg,5,0.6756
12,2,43,art,art_012.jpg,5,0.5802
13,1,16,art,art_012.jpg,1,0.993
13,2,60,art,art_012.jpg,1,0.738
14,1,50,art,art_012.jpg,5,0.9842
14,2,94,art,art_012.jpg,3,0.5438
15,1,106,art,art_012.jpg,5,0.6895
15,2,78,art,art_012.jpg,5,0.7079
16,1,32,art,art_012.jpg,3,0.9156
16,2,4,art,art_012.jpg,1,0.756
17,1,61,art,art_012.jpg,6,0.7643
17,2,5,art,art_012.jpg,4,1.8019
18,1,105,art,art_012.jpg,6,0.883
18,2,49,art,art_012.jpg,6,0.8178
19,1,15,art,art_012.jpg,4,0.55
19,2,106,art,art_012.jpg,2,0.8433
20,1,4,art,art_012.jpg,7,1.028
20,2,95,art,art_012.jpg,7,0.8237
21,1,4,art,art_012.jpg,6,1.1032
21,2,9,art,art_012.jpg,6,1.6117
22,1,101,art,art_012.jpg,2,0.7207
22,2,106,art,art_012.jpg,2,0.8921
23,1,98,art,art_012.jpg,6,1.5188
23,2,26,art,art_012.jpg,3,1.1271
24,1,84,art,art_012.jpg,1,0.9735
24,2,12,art,art_012.jpg,2,1.3282
1,1,11,art,art_066.jpg,5,1.4332
1,2,93,art,art_066.jpg,5,0.974
2,1,11,art,art_066.jpg,4,2.3691
2,2,43,art,art_066.jpg,3,1.0979
3,1,71,art,art_066.jpg,4,0.85
3,2,28,art,art_066.jpg,3,0.6507
4,1,82,art,art_066.jpg,4,3.2561
4,2,39,art,art_066.jpg,4,2.3045
5,1,97,art,art_066.jpg,1,0.7102
5,2,93,art,art_066.jpg,2,1.0173
6,1,17,art,art_066.jpg,5,1.0236
