"model","train_type","model_layer","model_layer_depth","score","model_string"
"keypoint_rcnn_R_50_FPN_3x","detectron","BottleneckBlock-14",0.784810126582278,0.455639460806788,"keypoint_rcnn_R_50_FPN_3x_detectron"
"class_object","taskonomy","ReLU-46",0.919753086419753,0.439034880425194,"class_object_taskonomy"
"class_scene","taskonomy","ReLU-43",0.864197530864197,0.43599495747846,"class_scene_taskonomy"
"deit_base_patch16_224","random","Linear-48",0.956140350877193,0.378523363613712,"deit_base_patch16_224_random"
"convnext_base","random","GELU-34",0.895348837209302,0.367855924023493,"convnext_base_random"
"edge_occlusion","taskonomy","Conv2d-28",0.506172839506173,0.367391554528338,"edge_occlusion_taskonomy"
"depth_euclidean","taskonomy","ReLU-24",0.487654320987654,0.36646904197426,"depth_euclidean_taskonomy"
"segment_semantic","taskonomy","ReLU-25",0.518518518518518,0.365920236431317,"segment_semantic_taskonomy"
"tnt_s_patch16_224","random","Linear-87",0.635714285714286,0.36436531614085,"tnt_s_patch16_224_random"
"xception","random","Linear-1",1,0.363903335459812,"xception_random"
"hardcorenas_f","random","HardSwishMe-3",0.290598290598291,0.362957115679733,"hardcorenas_f_random"
"curvature","taskonomy","BatchNorm2d-28",0.512345679012346,0.361960452781996,"curvature_taskonomy"
"cait_s24_224","random","Linear-123",0.781065088757396,0.361242927559326,"cait_s24_224_random"
"reshading","taskonomy","ReLU-32",0.648148148148148,0.360306831465153,"reshading_taskonomy"
"keypoints3d","taskonomy","ReLU-39",0.777777777777778,0.359497743663662,"keypoints3d_taskonomy"
"room_layout","taskonomy","ReLU-25",0.518518518518518,0.357006223840643,"room_layout_taskonomy"
"twins_svt_base","random","Dropout-88",0.880597014925373,0.356997861898726,"twins_svt_base_random"
"hardcorenas_a","random","HardSigmoidMe-8",0.921428571428571,0.354786526205848,"hardcorenas_a_random"
"deit_tiny_patch16_224","random","Linear-34",0.692982456140351,0.353598879409828,"deit_tiny_patch16_224_random"
"vit_tiny_patch16_224","random","Dropout-38",0.763157894736842,0.351113184315717,"vit_tiny_patch16_224_random"
"depth_zbuffer","taskonomy","ReLU-23",0.469135802469136,0.349500434060183,"depth_zbuffer_taskonomy"
"spnasnet_100","random","InvertedResidual-18",0.882352941176471,0.3466587523083,"spnasnet_100_random"
"segment_unsup25d","taskonomy","ReLU-28",0.574074074074074,0.346576295605637,"segment_unsup25d_taskonomy"
"densenet169","random","ReLU-158",0.933723196881092,0.346094194579129,"densenet169_random"
"normal","taskonomy","ReLU-32",0.648148148148148,0.340742521915021,"normal_taskonomy"
"point_matching","taskonomy","ReLU-12",0.246913580246914,0.335094280702697,"point_matching_taskonomy"
"fixated_pose","taskonomy","ReLU-24",0.487654320987654,0.330593672312267,"fixated_pose_taskonomy"
"segment_unsup2d","taskonomy","ReLU-40",0.796296296296296,0.329757203903018,"segment_unsup2d_taskonomy"
"nasnetalarge","random","Conv2d-662",0.934055118110236,0.327486486611462,"nasnetalarge_random"
"egomotion","taskonomy","BatchNorm2d-15",0.271604938271605,0.322357836243054,"egomotion_taskonomy"
"nonfixated_pose","taskonomy","ReLU-27",0.555555555555556,0.321203039183519,"nonfixated_pose_taskonomy"
"densenet121","random","Linear-1",1,0.317540844175635,"densenet121_random"
"inception_v4","random","AvgPool2d-12",0.8559670781893,0.316887980367366,"inception_v4_random"
"densenet161","random","Linear-1",1,0.315868237511438,"densenet161_random"
"tf_efficientnet_b7","random","Conv2d-150",0.545092838196287,0.314899915819731,"tf_efficientnet_b7_random"
"swin_base_patch4_window7_224","random","Linear-93",0.907103825136612,0.313492144902184,"swin_base_patch4_window7_224_random"
